text,label
"Dear user, your mailbox is full. Click here to fix.",1
Let’s catch up after lunch today at 2:30 PM.,0
Verify your bank account to avoid deactivation.,1
Class is canceled tomorrow due to weather.,0
Your PayPal account has been limited. Log in now.,1
Please find attached the project report.,0
Congratulations! You've won a free iPhone. Claim here.,1
Your meeting is confirmed for 11 AM tomorrow.,0
We noticed unusual login attempts on your account. Act now.,1
The team outing is scheduled for next Friday at 4 PM.,0
